epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,4858.02,0.61067,0.38025,0.89492,0.96321,0.82274,0.87886,0.73368,0.68252,0.37089,0.93347,0.004456,0.004456,0.004456
142,4894.47,0.60656,0.37738,0.89351,0.96481,0.82417,0.87878,0.73365,0.68333,0.37031,0.93407,0.0044164,0.0044164,0.0044164
143,4930.49,0.60611,0.37596,0.89257,0.96518,0.82426,0.87862,0.73431,0.68189,0.3714,0.93309,0.0043768,0.0043768,0.0043768
144,4966.98,0.6039,0.37781,0.89533,0.96327,0.82493,0.87887,0.73469,0.68242,0.3714,0.93405,0.0043372,0.0043372,0.0043372
145,5003.62,0.60038,0.37306,0.89076,0.96729,0.82237,0.87917,0.73484,0.68183,0.36988,0.93289,0.0042976,0.0042976,0.0042976
146,5039.98,0.60104,0.37205,0.89151,0.96632,0.82519,0.87854,0.73591,0.68101,0.36905,0.93324,0.004258,0.004258,0.004258
147,5075.98,0.60097,0.37222,0.89418,0.96853,0.82565,0.87871,0.736,0.68108,0.36833,0.93454,0.0042184,0.0042184,0.0042184
148,5113.45,0.59851,0.37142,0.89119,0.96405,0.82657,0.87788,0.73517,0.6804,0.36783,0.93454,0.0041788,0.0041788,0.0041788
149,5150.76,0.59714,0.37206,0.88909,0.96781,0.82275,0.87881,0.73627,0.67896,0.36788,0.934,0.0041392,0.0041392,0.0041392
150,5186.78,0.59236,0.36924,0.88882,0.96642,0.82388,0.87957,0.73672,0.67821,0.36783,0.93387,0.0040996,0.0040996,0.0040996
151,5223.27,0.59566,0.36921,0.88953,0.96559,0.82388,0.8792,0.73725,0.67777,0.36854,0.93382,0.00406,0.00406,0.00406
152,5260.98,0.59334,0.36686,0.8909,0.96154,0.8275,0.87895,0.73641,0.67757,0.36917,0.93408,0.0040204,0.0040204,0.0040204
153,5298.49,0.59197,0.3657,0.88706,0.96602,0.82631,0.87855,0.73637,0.67843,0.36926,0.93444,0.0039808,0.0039808,0.0039808
154,5335.46,0.58813,0.36546,0.8868,0.9681,0.82476,0.8779,0.73662,0.67833,0.36918,0.93404,0.0039412,0.0039412,0.0039412
155,5371.21,0.58787,0.3673,0.88535,0.96864,0.82442,0.8791,0.73639,0.67825,0.36948,0.93251,0.0039016,0.0039016,0.0039016
156,5407.33,0.58703,0.36416,0.8847,0.96539,0.82466,0.8778,0.73669,0.6776,0.36931,0.93205,0.003862,0.003862,0.003862
157,5443.5,0.58253,0.36358,0.88326,0.96594,0.82455,0.87811,0.73653,0.67683,0.36907,0.93202,0.0038224,0.0038224,0.0038224
158,5479.57,0.58703,0.36389,0.88702,0.96519,0.82372,0.87692,0.73632,0.6759,0.36803,0.93143,0.0037828,0.0037828,0.0037828
159,5515.95,0.58166,0.35987,0.88453,0.96509,0.82494,0.87779,0.73689,0.67548,0.36756,0.93111,0.0037432,0.0037432,0.0037432
160,5552.08,0.57983,0.35736,0.88323,0.9662,0.82598,0.87921,0.73661,0.67504,0.36725,0.9313,0.0037036,0.0037036,0.0037036
161,5589.15,0.57613,0.3571,0.88363,0.96272,0.82847,0.87908,0.73707,0.67517,0.36696,0.93199,0.003664,0.003664,0.003664
162,5624.64,0.57695,0.35828,0.88243,0.96208,0.82735,0.8793,0.73764,0.67604,0.36716,0.93328,0.0036244,0.0036244,0.0036244
163,5660.03,0.57449,0.35635,0.88418,0.95407,0.83315,0.87864,0.73738,0.67618,0.36601,0.93354,0.0035848,0.0035848,0.0035848
164,5695.7,0.5766,0.35674,0.88107,0.95787,0.83134,0.87894,0.73697,0.67633,0.36574,0.93375,0.0035452,0.0035452,0.0035452
165,5731.5,0.56947,0.35252,0.87801,0.95883,0.8325,0.87985,0.73835,0.67588,0.36523,0.93328,0.0035056,0.0035056,0.0035056
166,5767.56,0.56523,0.35095,0.87767,0.96261,0.82972,0.88005,0.73845,0.67442,0.36408,0.93301,0.003466,0.003466,0.003466
167,5804.19,0.57084,0.35301,0.87921,0.96218,0.82938,0.87971,0.73828,0.67412,0.36389,0.93415,0.0034264,0.0034264,0.0034264
168,5841.05,0.56906,0.34944,0.87967,0.96211,0.83019,0.87993,0.73953,0.67333,0.3624,0.93396,0.0033868,0.0033868,0.0033868
169,5876.64,0.5679,0.35247,0.88236,0.96212,0.83145,0.87975,0.73975,0.67377,0.362,0.93429,0.0033472,0.0033472,0.0033472
170,5911.27,0.56621,0.35012,0.87936,0.96382,0.83093,0.87939,0.73931,0.67423,0.36231,0.93466,0.0033076,0.0033076,0.0033076
171,5944.27,0.56446,0.34814,0.8787,0.96378,0.82964,0.87882,0.73898,0.67427,0.36234,0.9343,0.003268,0.003268,0.003268
172,5977.18,0.55862,0.34486,0.87655,0.96261,0.83226,0.88018,0.7388,0.67403,0.36255,0.93442,0.0032284,0.0032284,0.0032284
173,6010.11,0.56147,0.34851,0.87792,0.96254,0.83234,0.88065,0.73934,0.67325,0.36252,0.93419,0.0031888,0.0031888,0.0031888
174,6043.01,0.5548,0.34447,0.8749,0.96287,0.83234,0.8807,0.73967,0.67265,0.36236,0.93409,0.0031492,0.0031492,0.0031492
175,6075.9,0.55721,0.34435,0.87586,0.96415,0.83188,0.88076,0.73979,0.6722,0.36219,0.93377,0.0031096,0.0031096,0.0031096
176,6108.78,0.55353,0.34085,0.87634,0.96449,0.83102,0.88002,0.74004,0.6721,0.36217,0.93356,0.00307,0.00307,0.00307
177,6141.72,0.55368,0.3414,0.87497,0.96306,0.83157,0.88006,0.74025,0.67235,0.36169,0.93418,0.0030304,0.0030304,0.0030304
178,6174.64,0.55263,0.34223,0.8754,0.96502,0.82897,0.88004,0.74002,0.67241,0.36155,0.93499,0.0029908,0.0029908,0.0029908
179,6207.54,0.55155,0.3406,0.8741,0.96566,0.82876,0.88096,0.74021,0.67213,0.36157,0.93499,0.0029512,0.0029512,0.0029512
180,6240.58,0.54887,0.33975,0.8756,0.9645,0.82918,0.88085,0.73995,0.67226,0.36142,0.93546,0.0029116,0.0029116,0.0029116
